t_s,state,copter_n,copter_e,copter_d,rover_n,rover_e,in_fov,occluded,bbox_cx,bbox_cy,px_err,vx_cmd,vy_cmd,loop_ms,dist_n,dist_e,d_true_px,d_dist_px,carry_score
0.0,ACQUIRE,0.01,-0.01,-9.03,0.52,-0.01,1,0,,,,0.0,0.0,2.6,,,,,
0.05,ACQUIRE,0.01,-0.01,-9.03,0.69,-0.01,1,0,,,,0.0,0.0,0.9,,,,,
0.1,ACQUIRE,0.01,-0.01,-9.13,0.87,-0.01,1,0,,,,0.0,0.0,1.4,,,,,
0.15,ACQUIRE,0.01,-0.01,-9.13,1.04,-0.01,1,0,,,,0.0,0.0,0.8,,,,,
0.2,ACQUIRE,0.01,-0.01,-9.23,1.22,-0.01,1,0,,,,0.0,0.0,1.5,,,,,
0.25,ACQUIRE,0.01,-0.01,-9.23,1.39,-0.01,1,0,,,,0.0,0.0,0.8,,,,,
0.3,ACQUIRE,0.01,-0.01,-9.32,1.57,-0.01,1,0,,,,0.0,0.0,1.5,,,,,
0.35,ACQUIRE,0.01,-0.01,-9.32,1.74,-0.01,1,0,,,,1.31,0.16,2.1,,,,,
0.4,ACQUIRE,0.01,-0.01,-9.4,1.92,-0.01,1,0,,,,1.35,0.17,2.5,,,,,
0.45,ACQUIRE,0.01,-0.01,-9.4,2.09,-0.01,1,0,,,,1.35,0.18,1.7,,,,,
0.5,ACQUIRE,0.01,-0.01,-9.47,2.27,-0.01,1,0,,,,1.35,0.19,2.4,,,,,
0.55,ACQUIRE,0.01,-0.01,-9.47,2.44,-0.01,1,0,,,,1.35,0.19,1.8,,,,,
0.6,ACQUIRE,0.01,-0.01,-9.53,2.62,-0.01,1,0,,,,1.33,0.19,2.4,,,,,
0.65,ACQUIRE,0.01,-0.01,-9.53,2.79,-0.01,1,0,,,,1.33,0.19,1.8,,,,,
0.7,ACQUIRE,0.01,-0.01,-9.58,2.97,-0.01,1,0,,,,1.32,0.19,2.3,,,,,
0.75,ACQUIRE,0.01,-0.01,-9.58,3.14,-0.01,1,0,,,,1.32,0.19,1.9,,,,,
0.8,ACQUIRE,0.03,-0.01,-9.62,3.32,-0.01,1,0,,,,1.3,0.19,2.5,,,,,
0.85,ACQUIRE,0.03,-0.01,-9.62,3.49,-0.01,1,0,,,,2.611,0.102,1.8,,,,,
0.9,ACQUIRE,0.06,-0.01,-9.64,3.67,-0.01,1,0,,,,2.447,0.085,2.5,,,,,
0.95,ACQUIRE,0.06,-0.01,-9.64,3.84,-0.01,1,0,,,,2.321,0.083,1.8,,,,,
1.0,ACQUIRE,0.11,-0.01,-9.66,4.02,-0.01,1,0,,,,2.205,0.091,2.5,,,,,
1.05,ACQUIRE,0.11,-0.01,-9.66,4.19,-0.01,1,0,,,,2.113,0.106,1.7,,,,,
1.1,ACQUIRE,0.17,-0.01,-9.67,4.37,-0.01,1,0,,,,1.98,0.114,2.5,,,,,
1.15,ACQUIRE,0.17,-0.01,-9.67,4.55,-0.01,1,0,,,,1.911,0.142,1.7,,,,,
1.2,ACQUIRE,0.26,-0.01,-9.67,4.72,-0.01,1,0,,,,1.805,0.148,2.4,,,,,
1.25,ACQUIRE,0.26,-0.01,-9.67,4.9,-0.01,1,0,,,,1.752,0.159,1.8,,,,,
1.3,ACQUIRE,0.37,-0.01,-9.67,5.07,-0.01,1,0,,,,1.654,0.165,2.3,,,,,
1.35,ACQUIRE,0.37,-0.01,-9.67,5.25,-0.01,1,0,,,,2.604,0.344,1.7,,,,,
1.4,ACQUIRE,0.5,-0.02,-9.66,5.42,-0.01,1,0,,,,2.592,0.345,2.2,,,,,
1.45,ACQUIRE,0.5,-0.02,-9.66,5.6,-0.01,1,0,,,,2.659,0.373,1.8,,,,,
1.5,ACQUIRE,0.65,-0.03,-9.66,5.77,-0.01,1,0,,,,2.624,0.362,2.3,,,,,
1.55,ACQUIRE,0.65,-0.03,-9.66,5.95,-0.01,1,0,,,,2.689,0.365,1.8,,,,,
1.6,ACQUIRE,0.81,-0.04,-9.65,6.12,-0.01,1,0,,,,2.652,0.366,2.4,,,,,
1.65,ACQUIRE,0.81,-0.04,-9.65,6.3,-0.01,1,0,,,,2.649,0.37,1.8,,,,,
1.7,ACQUIRE,0.99,-0.05,-9.64,6.47,-0.01,1,0,,,,2.508,0.362,2.4,,,,,
1.75,ACQUIRE,0.99,-0.05,-9.64,6.65,-0.01,1,0,,,,2.456,0.355,1.7,,,,,
1.8,ACQUIRE,1.18,-0.05,-9.64,6.82,-0.01,1,0,,,,2.302,0.34,2.3,,,,,
1.85,ACQUIRE,1.18,-0.05,-9.64,7.0,-0.01,1,0,,,,3.584,0.506,1.7,,,,,
1.9,ACQUIRE,1.39,-0.06,-9.63,7.17,-0.01,1,0,,,,3.422,0.481,2.4,,,,,
1.95,ACQUIRE,1.39,-0.06,-9.63,7.35,-0.01,1,0,,,,3.359,0.473,1.7,,,,,
2.0,ACQUIRE,1.61,-0.06,-9.63,7.52,-0.01,1,0,,,,3.192,0.461,2.4,,,,,
2.05,ACQUIRE,1.61,-0.06,-9.63,7.7,-0.01,1,0,,,,3.137,0.453,1.7,,,,,
2.1,ACQUIRE,1.84,-0.06,-9.63,7.87,-0.01,1,0,,,,2.973,0.435,2.3,,,,,
2.15,ACQUIRE,1.84,-0.06,-9.63,8.05,-0.01,1,0,,,,2.923,0.428,1.7,,,,,
2.2,ACQUIRE,2.09,-0.06,-9.62,8.22,-0.01,1,0,,,,2.752,0.403,2.3,,,,,
2.25,ACQUIRE,2.09,-0.06,-9.62,8.4,-0.01,0,0,,,,2.708,0.397,1.7,,,,,
2.3,ACQUIRE,2.34,-0.06,-9.62,8.58,-0.01,0,0,,,,2.531,0.373,2.1,,,,,
2.35,ACQUIRE,2.34,-0.06,-9.62,8.75,-0.01,0,0,,,,3.836,0.559,1.7,,,,,
2.4,ACQUIRE,2.6,-0.06,-9.62,8.93,-0.01,0,0,,,,3.653,0.525,2.2,,,,,
2.45,ACQUIRE,2.6,-0.06,-9.62,9.1,-0.01,0,0,,,,3.601,0.518,1.9,,,,,
2.5,ACQUIRE,2.88,-0.06,-9.62,9.28,-0.01,0,0,,,,3.417,0.487,2.3,,,,,
2.55,ACQUIRE,2.88,-0.06,-9.62,9.45,-0.01,0,0,,,,3.37,0.48,1.8,,,,,
2.6,ACQUIRE,3.15,-0.05,-9.62,9.63,-0.01,0,0,,,,3.185,0.459,2.4,,,,,
2.65,ACQUIRE,3.15,-0.05,-9.62,9.8,-0.01,0,0,,,,3.142,0.453,1.8,,,,,
2.7,ACQUIRE,3.43,-0.05,-9.63,9.98,-0.01,0,0,,,,2.971,0.425,2.5,,,,,
2.75,ACQUIRE,3.43,-0.05,-9.63,10.15,-0.01,0,0,,,,2.953,0.421,1.8,,,,,
2.8,ACQUIRE,3.73,-0.05,-9.63,10.33,-0.01,0,0,,,,2.802,0.394,2.4,,,,,
2.85,ACQUIRE,3.73,-0.05,-9.63,10.5,-0.01,0,0,,,,2.849,0.4,1.7,,,,,
2.9,ACQUIRE,4.02,-0.04,-9.63,10.68,-0.01,0,0,,,,2.749,0.382,2.3,,,,,
2.95,ACQUIRE,4.02,-0.04,-9.63,10.85,-0.01,0,0,,,,2.796,0.388,1.7,,,,,
3.0,ACQUIRE,4.33,-0.04,-9.63,11.03,-0.01,0,0,,,,2.692,0.371,10.3,,,,,
3.05,ACQUIRE,4.33,-0.04,-9.63,11.2,-0.01,0,0,,,,2.739,0.377,1.5,,,,,
3.1,ACQUIRE,4.63,-0.03,-9.63,11.38,-0.01,0,0,,,,2.638,0.36,2.2,,,,,
3.15,ACQUIRE,4.63,-0.03,-9.63,11.55,-0.01,0,0,,,,2.685,0.366,1.7,,,,,
3.2,ACQUIRE,4.93,-0.03,-9.63,11.73,-0.01,0,0,,,,2.584,0.351,2.4,,,,,
3.25,ACQUIRE,4.93,-0.03,-9.63,11.91,-0.01,0,0,,,,2.631,0.357,1.8,,,,,
3.3,ACQUIRE,5.22,-0.02,-9.64,12.08,-0.01,0,0,,,,2.533,0.343,2.4,,,,,
3.35,ACQUIRE,5.22,-0.02,-9.64,12.26,-0.01,0,0,,,,2.58,0.349,1.7,,,,,
3.4,ACQUIRE,5.51,-0.02,-9.64,12.43,-0.01,0,0,,,,2.484,0.335,2.4,,,,,
3.45,ACQUIRE,5.51,-0.02,-9.64,12.61,-0.01,0,0,,,,2.53,0.341,1.5,,,,,
3.5,ACQUIRE,5.79,-0.02,-9.64,12.78,-0.01,0,0,,,,2.437,0.327,2.5,,,,,
3.55,ACQUIRE,5.79,-0.02,-9.64,12.96,-0.01,0,0,,,,2.483,0.333,1.7,,,,,
3.61,ACQUIRE,6.07,-0.01,-9.64,13.13,-0.01,0,0,,,,2.391,0.32,2.1,,,,,
3.66,ACQUIRE,6.07,-0.01,-9.64,13.31,-0.01,0,0,,,,2.438,0.326,1.7,,,,,
3.71,ACQUIRE,6.35,-0.01,-9.64,13.48,-0.01,0,0,,,,2.349,0.313,2.3,,,,,
3.76,ACQUIRE,6.35,-0.01,-9.64,13.66,-0.01,0,0,,,,2.396,0.319,1.7,,,,,
3.81,ACQUIRE,6.62,-0.01,-9.64,13.83,-0.01,0,0,,,,2.307,0.307,2.4,,,,,
3.86,ACQUIRE,6.62,-0.01,-9.64,14.01,-0.01,0,0,,,,2.354,0.313,1.7,,,,,
3.91,ACQUIRE,6.89,-0.01,-9.64,14.18,-0.01,0,0,,,,2.269,0.301,2.4,,,,,
3.96,ACQUIRE,6.89,-0.01,-9.64,14.36,-0.01,0,0,,,,2.316,0.307,1.7,,,,,
4.01,ACQUIRE,7.15,-0.0,-9.64,14.53,-0.01,0,0,,,,2.232,0.295,2.5,,,,,
4.06,ACQUIRE,7.15,-0.0,-9.64,14.71,-0.01,0,0,,,,2.279,0.301,1.6,,,,,
4.11,ACQUIRE,7.41,-0.0,-9.64,14.88,-0.01,0,0,,,,2.198,0.29,2.3,,,,,
4.16,ACQUIRE,7.41,-0.0,-9.64,15.06,-0.01,0,0,,,,2.245,0.296,1.7,,,,,
4.21,ACQUIRE,7.67,-0.0,-9.65,15.24,-0.01,0,0,,,,2.166,0.285,2.2,,,,,
4.26,ACQUIRE,7.67,-0.0,-9.65,15.41,-0.01,0,0,,,,2.213,0.291,1.7,,,,,
4.31,ACQUIRE,7.92,0.0,-9.65,15.59,-0.01,0,0,,,,2.136,0.28,2.2,,,,,
4.36,ACQUIRE,7.92,0.0,-9.65,15.76,-0.01,0,0,,,,2.183,0.286,1.7,,,,,
4.41,ACQUIRE,8.16,0.0,-9.65,15.94,-0.01,0,0,,,,2.107,0.276,2.1,,,,,
4.46,ACQUIRE,8.16,0.0,-9.65,16.11,-0.01,0,0,,,,2.154,0.282,1.8,,,,,
4.51,ACQUIRE,8.41,0.0,-9.65,16.29,-0.01,0,0,,,,2.081,0.272,2.4,,,,,
4.56,ACQUIRE,8.41,0.0,-9.65,16.46,-0.01,0,0,,,,2.127,0.278,1.6,,,,,
4.61,ACQUIRE,8.65,0.0,-9.65,16.64,-0.01,0,0,,,,2.055,0.269,2.5,,,,,
4.66,ACQUIRE,8.65,0.0,-9.65,16.81,-0.01,0,0,,,,2.102,0.275,1.7,,,,,
4.71,ACQUIRE,8.88,0.0,-9.65,16.99,-0.01,0,0,,,,2.032,0.266,2.5,,,,,
4.76,ACQUIRE,8.88,0.0,-9.65,17.16,-0.01,0,0,,,,2.079,0.272,1.7,,,,,
4.81,ACQUIRE,9.11,0.0,-9.65,17.34,-0.01,0,0,,,,2.01,0.263,2.3,,,,,
4.86,ACQUIRE,9.11,0.0,-9.65,17.51,-0.01,0,0,,,,2.057,0.269,1.6,,,,,
4.91,ACQUIRE,9.34,0.01,-9.65,17.69,-0.01,0,0,,,,1.991,0.26,2.3,,,,,
4.96,ACQUIRE,9.34,0.01,-9.65,17.86,-0.01,0,0,,,,2.037,0.266,1.7,,,,,
5.01,ACQUIRE,9.57,0.0,-9.65,18.04,-0.01,0,0,,,,1.971,0.258,2.3,,,,,
5.06,ACQUIRE,9.57,0.0,-9.65,18.21,-0.01,0,0,,,,2.018,0.264,1.7,,,,,
5.11,ACQUIRE,9.8,0.0,-9.65,18.39,-0.01,0,0,,,,1.953,0.256,2.3,,,,,
5.16,ACQUIRE,9.8,0.0,-9.65,18.56,-0.01,0,0,,,,2.0,0.262,1.7,,,,,
5.21,ACQUIRE,10.02,0.0,-9.65,18.74,-0.01,0,0,,,,1.937,0.254,2.4,,,,,
5.26,ACQUIRE,10.02,0.0,-9.65,18.92,-0.01,0,0,,,,1.984,0.26,1.7,,,,,
5.31,ACQUIRE,10.24,0.0,-9.66,19.09,-0.01,0,0,,,,1.923,0.252,2.3,,,,,
5.36,ACQUIRE,10.24,0.0,-9.66,19.27,-0.01,0,0,,,,1.97,0.258,6.0,,,,,
5.41,ACQUIRE,10.45,0.0,-9.66,19.44,-0.01,0,0,,,,1.91,0.251,2.2,,,,,
5.46,ACQUIRE,10.45,0.0,-9.66,19.62,-0.01,0,0,,,,1.957,0.257,1.6,,,,,
5.51,ACQUIRE,10.66,0.0,-9.66,19.79,-0.01,0,0,,,,1.898,0.25,2.3,,,,,
5.56,ACQUIRE,10.66,0.0,-9.66,19.97,-0.01,0,0,,,,1.945,0.256,1.8,,,,,
5.61,ACQUIRE,10.88,0.0,-9.66,20.14,-0.01,0,0,,,,1.887,0.249,2.4,,,,,
5.66,ACQUIRE,10.88,0.0,-9.66,20.32,-0.01,0,0,,,,1.934,0.255,1.7,,,,,
5.71,ACQUIRE,11.09,0.0,-9.66,20.49,-0.01,0,0,,,,1.877,0.248,2.4,,,,,
5.76,ACQUIRE,11.09,0.0,-9.66,20.67,-0.01,0,0,,,,1.924,0.254,1.7,,,,,
5.81,ACQUIRE,11.29,0.0,-9.66,20.84,-0.01,0,0,,,,1.867,0.247,2.4,,,,,
5.86,ACQUIRE,11.29,0.0,-9.66,21.02,-0.01,0,0,,,,1.914,0.253,1.7,,,,,
5.91,ACQUIRE,11.5,0.0,-9.66,21.19,-0.01,0,0,,,,1.86,0.246,2.2,,,,,
5.96,ACQUIRE,11.5,0.0,-9.66,21.37,-0.01,0,0,,,,1.907,0.252,1.6,,,,,
6.01,ACQUIRE,11.7,0.0,-9.66,21.54,-0.01,0,0,,,,1.853,0.245,2.1,,,,,
6.06,ACQUIRE,11.7,0.0,-9.66,21.72,-0.01,0,0,,,,1.9,0.251,1.7,,,,,
6.11,ACQUIRE,11.9,0.0,-9.66,21.89,-0.01,0,0,,,,1.848,0.244,2.4,,,,,
6.16,ACQUIRE,11.9,0.0,-9.66,22.07,-0.01,0,0,,,,1.895,0.251,1.8,,,,,
6.21,ACQUIRE,12.1,0.0,-9.66,22.24,-0.01,0,0,,,,1.844,0.244,2.4,,,,,
6.26,ACQUIRE,12.1,0.0,-9.66,22.42,-0.01,0,0,,,,1.891,0.25,1.7,,,,,
6.31,ACQUIRE,12.29,0.0,-9.66,22.59,-0.01,0,0,,,,1.84,0.244,2.4,,,,,
6.36,ACQUIRE,12.29,0.0,-9.66,22.77,-0.01,0,0,,,,1.887,0.25,1.5,,,,,
6.41,ACQUIRE,12.49,0.0,-9.66,22.95,-0.01,0,0,,,,1.837,0.243,2.4,,,,,
6.46,ACQUIRE,12.49,0.0,-9.66,23.12,-0.01,0,0,,,,1.884,0.249,1.8,,,,,
6.51,ACQUIRE,12.68,0.01,-9.66,23.3,-0.01,0,0,,,,1.835,0.243,2.3,,,,,
6.56,ACQUIRE,12.68,0.01,-9.66,23.47,-0.01,0,0,,,,1.882,0.249,1.7,,,,,
6.61,ACQUIRE,12.88,0.01,-9.66,23.65,-0.01,0,0,,,,1.833,0.243,2.2,,,,,
6.66,ACQUIRE,12.88,0.01,-9.66,23.82,-0.01,0,0,,,,1.88,0.249,1.7,,,,,
6.71,ACQUIRE,13.07,0.01,-9.66,24.0,-0.01,0,0,,,,1.832,0.242,2.1,,,,,
6.76,ACQUIRE,13.07,0.01,-9.66,24.17,-0.01,0,0,,,,1.879,0.248,1.9,,,,,
6.81,ACQUIRE,13.26,0.01,-9.66,24.35,-0.01,0,0,,,,1.832,0.242,2.4,,,,,
6.86,ACQUIRE,13.26,0.01,-9.66,24.52,-0.01,0,0,,,,1.879,0.248,1.8,,,,,
6.91,ACQUIRE,13.45,0.01,-9.66,24.7,-0.01,0,0,,,,1.832,0.242,2.4,,,,,
6.96,ACQUIRE,13.45,0.01,-9.66,24.87,-0.01,0,0,,,,1.879,0.248,1.5,,,,,
7.01,ACQUIRE,13.64,0.01,-9.66,25.05,-0.01,0,0,,,,1.832,0.242,2.6,,,,,
7.06,ACQUIRE,13.64,0.01,-9.66,25.22,-0.01,0,0,,,,1.879,0.248,1.7,,,,,
7.11,ACQUIRE,13.82,0.01,-9.66,25.4,-0.01,0,0,,,,1.832,0.242,2.4,,,,,
7.16,ACQUIRE,13.82,0.01,-9.66,25.57,-0.01,0,0,,,,1.879,0.248,1.7,,,,,
7.21,ACQUIRE,14.01,0.01,-9.66,25.75,-0.01,0,0,,,,1.832,0.242,2.2,,,,,
7.26,ACQUIRE,14.01,0.01,-9.66,25.92,-0.01,0,0,,,,1.879,0.248,1.6,,,,,
7.31,ACQUIRE,14.2,0.01,-9.66,26.1,-0.01,0,0,,,,1.833,0.241,2.3,,,,,
7.36,ACQUIRE,14.2,0.01,-9.66,26.27,-0.01,0,0,,,,1.88,0.248,1.7,,,,,
7.41,ACQUIRE,14.39,0.01,-9.66,26.45,-0.01,0,0,,,,1.834,0.241,2.2,,,,,
7.46,ACQUIRE,14.39,0.01,-9.66,26.62,-0.01,0,0,,,,1.881,0.247,1.7,,,,,
7.51,ACQUIRE,14.57,0.01,-9.66,26.8,-0.01,0,0,,,,1.836,0.241,2.2,,,,,
7.56,ACQUIRE,14.57,0.01,-9.66,26.98,-0.01,0,0,,,,1.883,0.247,1.5,,,,,
7.61,ACQUIRE,14.76,0.01,-9.66,27.15,-0.01,0,0,,,,1.837,0.241,2.5,,,,,
7.66,ACQUIRE,14.76,0.01,-9.66,27.33,-0.01,0,0,,,,1.884,0.247,1.6,,,,,
7.71,ACQUIRE,14.95,0.01,-9.66,27.5,-0.01,0,0,,,,1.838,0.241,6.8,,,,,
7.76,ACQUIRE,14.95,0.01,-9.66,27.68,-0.01,0,0,,,,1.885,0.247,1.7,,,,,
7.81,ACQUIRE,15.13,0.01,-9.66,27.85,-0.01,0,0,,,,1.84,0.241,2.1,,,,,
7.86,ACQUIRE,15.13,0.01,-9.66,28.03,-0.01,0,0,,,,1.886,0.247,1.7,,,,,
7.91,ACQUIRE,15.32,0.02,-9.66,28.2,-0.01,0,0,,,,1.84,0.241,2.4,,,,,
7.96,ACQUIRE,15.32,0.02,-9.66,28.38,-0.01,0,0,,,,1.887,0.247,1.8,,,,,
8.01,ACQUIRE,15.51,0.02,-9.66,28.55,-0.01,0,0,,,,1.841,0.241,2.4,,,,,
8.06,ACQUIRE,15.51,0.02,-9.66,28.73,-0.01,0,0,,,,1.888,0.247,1.7,,,,,
8.11,ACQUIRE,15.7,0.02,-9.67,28.9,-0.01,0,0,,,,1.843,0.241,2.3,,,,,
8.16,ACQUIRE,15.7,0.02,-9.67,29.08,-0.01,0,0,,,,1.89,0.247,1.4,,,,,
8.21,ACQUIRE,15.88,0.02,-9.67,29.25,-0.01,0,0,,,,1.844,0.241,2.4,,,,,
8.26,ACQUIRE,15.88,0.02,-9.67,29.43,-0.01,0,0,,,,1.891,0.247,1.7,,,,,
8.31,ACQUIRE,16.07,0.02,-9.67,29.6,-0.01,0,0,,,,1.845,0.241,2.3,,,,,
8.36,ACQUIRE,16.07,0.02,-9.67,29.78,-0.01,0,0,,,,1.892,0.247,1.7,,,,,
8.41,ACQUIRE,16.26,0.02,-9.67,29.95,-0.01,0,0,,,,1.846,0.241,2.2,,,,,
8.46,ACQUIRE,16.26,0.02,-9.67,30.13,-0.01,0,0,,,,1.893,0.247,1.8,,,,,
8.51,ACQUIRE,16.44,0.02,-9.67,30.3,-0.01,0,0,,,,1.848,0.241,2.4,,,,,
8.56,ACQUIRE,16.44,0.02,-9.67,30.48,-0.01,0,0,,,,1.894,0.247,1.9,,,,,
8.61,ACQUIRE,16.63,0.02,-9.67,30.65,-0.01,0,0,,,,1.849,0.241,2.4,,,,,
8.66,ACQUIRE,16.63,0.02,-9.67,30.83,-0.01,0,0,,,,1.896,0.247,1.6,,,,,
8.71,ACQUIRE,16.82,0.02,-9.67,31.01,-0.01,0,0,,,,1.85,0.24,2.5,,,,,
8.76,ACQUIRE,16.82,0.02,-9.67,31.18,-0.01,0,0,,,,1.897,0.246,1.7,,,,,
8.81,ACQUIRE,17.0,0.02,-9.67,31.36,-0.01,0,0,,,,1.851,0.24,2.3,,,,,
8.86,ACQUIRE,17.0,0.02,-9.67,31.53,-0.01,0,0,,,,1.898,0.246,1.6,,,,,
8.91,ACQUIRE,17.19,0.03,-9.67,31.71,-0.01,0,0,,,,1.852,0.24,2.3,,,,,
8.96,ACQUIRE,17.19,0.03,-9.67,31.88,-0.01,0,0,,,,1.899,0.246,1.7,,,,,
9.01,ACQUIRE,17.38,0.03,-9.67,32.06,-0.01,0,0,,,,1.853,0.24,2.2,,,,,
9.06,ACQUIRE,17.38,0.03,-9.67,32.23,-0.01,0,0,,,,1.9,0.246,1.7,,,,,
9.11,ACQUIRE,17.57,0.03,-9.67,32.41,-0.01,0,0,,,,1.854,0.24,2.2,,,,,
9.16,ACQUIRE,17.57,0.03,-9.67,32.58,-0.01,0,0,,,,1.901,0.246,1.7,,,,,
9.21,ACQUIRE,17.75,0.03,-9.67,32.76,-0.01,0,0,,,,1.854,0.24,2.4,,,,,
9.26,ACQUIRE,17.75,0.03,-9.67,32.93,-0.01,0,0,,,,1.901,0.246,1.7,,,,,
9.31,ACQUIRE,17.94,0.03,-9.67,33.11,-0.01,0,0,,,,1.854,0.239,2.4,,,,,
9.36,ACQUIRE,17.94,0.03,-9.67,33.28,-0.01,0,0,,,,1.901,0.245,1.7,,,,,
9.41,ACQUIRE,18.13,0.03,-9.67,33.46,-0.01,0,0,,,,1.854,0.239,2.4,,,,,
9.46,ACQUIRE,18.13,0.03,-9.67,33.63,-0.01,0,0,,,,1.901,0.245,1.7,,,,,
9.51,ACQUIRE,18.32,0.03,-9.67,33.81,-0.01,0,0,,,,1.854,0.239,2.4,,,,,
9.56,ACQUIRE,18.32,0.03,-9.67,33.98,-0.01,0,0,,,,1.901,0.245,1.7,,,,,
9.61,ACQUIRE,18.51,0.03,-9.67,34.16,-0.01,0,0,,,,1.855,0.239,2.1,,,,,
9.66,ACQUIRE,18.51,0.03,-9.67,34.33,-0.01,0,0,,,,1.902,0.245,1.7,,,,,
9.71,ACQUIRE,18.7,0.03,-9.67,34.51,-0.01,0,0,,,,1.855,0.239,2.7,,,,,
9.76,ACQUIRE,18.7,0.03,-9.67,34.69,-0.01,0,0,,,,1.902,0.245,1.7,,,,,
9.81,ACQUIRE,18.89,0.03,-9.67,34.86,-0.01,0,0,,,,1.855,0.239,2.3,,,,,
9.86,ACQUIRE,18.89,0.03,-9.67,35.04,-0.01,0,0,,,,1.902,0.245,1.7,,,,,
9.91,ACQUIRE,19.08,0.03,-9.67,35.21,-0.01,0,0,,,,1.855,0.239,2.3,,,,,
9.96,ACQUIRE,19.08,0.03,-9.67,35.39,-0.01,0,0,,,,1.902,0.245,1.6,,,,,
10.01,ACQUIRE,19.27,0.03,-9.67,35.56,-0.01,0,0,,,,1.855,0.239,2.3,,,,,
10.06,ACQUIRE,19.27,0.03,-9.67,35.74,-0.01,0,0,,,,1.901,0.245,6.2,,,,,
10.11,ACQUIRE,19.46,0.03,-9.67,35.91,-0.01,0,0,,,,1.855,0.239,2.4,,,,,
10.16,ACQUIRE,19.46,0.03,-9.67,36.09,-0.01,0,0,,,,1.902,0.245,1.7,,,,,
10.21,ACQUIRE,19.64,0.03,-9.67,36.26,-0.01,0,0,,,,1.855,0.239,2.4,,,,,
10.26,ACQUIRE,19.64,0.03,-9.67,36.44,-0.01,0,0,,,,1.902,0.245,1.8,,,,,
10.31,ACQUIRE,19.83,0.03,-9.67,36.61,-0.01,0,0,,,,1.855,0.239,2.4,,,,,
10.36,ACQUIRE,19.83,0.03,-9.67,36.79,-0.01,0,0,,,,1.902,0.245,1.7,,,,,
10.41,ACQUIRE,20.02,0.03,-9.67,36.96,-0.01,0,0,,,,1.855,0.239,2.3,,,,,
10.46,ACQUIRE,20.02,0.03,-9.67,37.14,-0.01,0,0,,,,1.902,0.245,1.5,,,,,
10.51,ACQUIRE,20.21,0.03,-9.67,37.31,-0.01,0,0,,,,1.856,0.239,2.4,,,,,
10.56,ACQUIRE,20.21,0.03,-9.67,37.49,-0.01,0,0,,,,1.903,0.246,1.7,,,,,
10.61,ACQUIRE,20.4,0.03,-9.67,37.66,-0.01,0,0,,,,1.856,0.24,2.4,,,,,
10.66,ACQUIRE,20.4,0.03,-9.67,37.84,-0.01,0,0,,,,1.903,0.246,1.7,,,,,
10.71,ACQUIRE,20.59,0.03,-9.67,38.01,-0.01,0,0,,,,1.857,0.24,2.2,,,,,
10.76,ACQUIRE,20.59,0.03,-9.67,38.19,-0.01,0,0,,,,1.903,0.246,1.7,,,,,
10.81,ACQUIRE,20.78,0.03,-9.67,38.36,-0.01,0,0,,,,1.857,0.24,2.3,,,,,
10.86,ACQUIRE,20.78,0.03,-9.67,38.54,-0.01,0,0,,,,1.904,0.246,1.8,,,,,
10.91,ACQUIRE,20.96,0.03,-9.67,38.72,-0.01,0,0,,,,1.857,0.24,2.4,,,,,
10.96,ACQUIRE,20.96,0.03,-9.67,38.89,-0.01,0,0,,,,1.904,0.246,1.8,,,,,
11.01,ACQUIRE,21.15,0.03,-9.67,39.07,-0.01,0,0,,,,1.857,0.24,2.3,,,,,
11.06,ACQUIRE,21.15,0.03,-9.67,39.24,-0.01,0,0,,,,1.904,0.246,1.6,,,,,
11.11,ACQUIRE,21.34,0.03,-9.67,39.42,-0.01,0,0,,,,1.857,0.24,2.5,,,,,
11.16,ACQUIRE,21.34,0.03,-9.67,39.59,-0.01,0,0,,,,1.904,0.247,2.3,,,,,
11.21,ACQUIRE,21.53,0.03,-9.67,39.77,-0.01,0,0,,,,1.857,0.241,2.3,,,,,
11.27,ACQUIRE,21.53,0.03,-9.67,39.94,-0.01,0,0,,,,1.904,0.247,1.7,,,,,
11.32,ACQUIRE,21.72,0.03,-9.67,40.12,-0.01,0,0,,,,1.857,0.241,2.4,,,,,
11.37,ACQUIRE,21.72,0.03,-9.67,40.29,-0.01,0,0,,,,1.904,0.247,1.7,,,,,
11.42,ACQUIRE,21.91,0.03,-9.67,40.47,-0.01,0,0,,,,1.857,0.241,2.3,,,,,
11.47,ACQUIRE,21.91,0.03,-9.67,40.64,-0.01,0,0,,,,1.903,0.247,1.7,,,,,
11.52,ACQUIRE,22.1,0.03,-9.67,40.82,-0.01,0,0,,,,1.857,0.241,2.3,,,,,
11.57,ACQUIRE,22.29,0.03,-9.67,40.99,-0.01,0,0,,,,1.81,0.235,2.4,,,,,
11.62,ACQUIRE,22.29,0.03,-9.67,41.17,-0.01,0,0,,,,1.857,0.241,1.8,,,,,
11.67,ACQUIRE,22.29,0.03,-9.67,41.34,-0.01,0,0,,,,1.904,0.247,1.7,,,,,
11.72,ACQUIRE,22.48,0.03,-9.67,41.52,-0.01,0,0,,,,1.858,0.241,2.4,,,,,
11.77,ACQUIRE,22.48,0.03,-9.67,41.69,-0.01,0,0,,,,1.905,0.247,1.6,,,,,
11.82,ACQUIRE,22.66,0.03,-9.67,41.87,-0.01,0,0,,,,1.859,0.241,2.4,,,,,
11.87,ACQUIRE,22.66,0.03,-9.67,42.04,-0.01,0,0,,,,1.906,0.247,1.7,,,,,
